Nom,Adresse,Latitude,Longitude
Musée des beaux-arts France,"Esplanade Valéry Giscard d'Estaing, 75007 Paris, France",48.8599614,2.3265614
Musée des beaux-arts France,"Le Château, 14000 Caen, France",49.186179,-0.3612777
Musée des beaux-arts France,"14 Rue Bonaparte, 75006 Paris, France",48.8568556,2.333782
Musée des beaux-arts France,"5 Pl. de Lavalette, 38000 Grenoble, France",45.194928,5.7323129
Musée des beaux-arts France,"Palais de la Berbie, Pl. Sainte-Cécile, 81000 Albi, France",43.9293954,2.1433425
Musée des beaux-arts France,"39 Bd Bonne Nouvelle, 34000 Montpellier, France",43.6116531,3.8801111
Musée des beaux-arts France,"14 Rue du Musée, 49100 Angers, France",47.46902859999999,-0.5544074999999999
Musée des beaux-arts France,"Pl. Julia, 29930 Pont-Aven, France",47.85523939999999,-3.7467418
Musée des beaux-arts France,"2 Bd Clemenceau, 76600 Le Havre, France",49.4849943,0.102668
Petit train de la Rhune France,"Col de Saint-Ignace, 64310 Sare, France",43.3251146,-1.6008812
Parc de la mer de sable France,"N330, 60950 Ermenonville, France",49.1458778,2.6772993
Ossuaire de Douaumont France,"Pl. Mgr Ginisty, 55100 Douaumont-Vaux, France",49.20722869999999,5.4243005
Arènes de Nîmes France,"Bd des Arènes, 30000 Nîmes, France",43.83490399999999,4.3596146
Centre Pompidou-Metz France,"1 Parv. des Droits de l'Homme, 57020 Metz, France",49.1082433,6.1816824
Montagne des singes France,"Wick, 67600 Kintzheim, France",48.260464,7.374915000000001
La Vallée des Saints France,"Quenequillec, 22160 Carnoët, France",48.3710399,-3.5416092
Vulcania France,"2 Rte de Mazayes, 63230 Saint-Ours, France",45.81379750000001,2.9425561
Aquarium Mare Nostrum - Planet Ocean France,"Centre commercial Odysseum, All. Ulysse, 34000 Montpellier, France",43.60277,3.917057
Parc Phoenix France,"405 Prom. des Anglais, 06200 Nice, France",43.6687512,7.2192135
Parc animalier de Sainte Croix France,"Route de Sainte-Croix, 57810 Rhodes, France",48.771829,6.895211
Parc Sportica France,"Bd de l'Europe, 59820 Gravelines, France",50.998554,2.12248
Parc Sportica France,"Parvis des droits de l'enfant, 59820 Gravelines, France",50.9976064,2.1230339
Musée Jacquemart-André France,"158 Bd Haussmann, 75008 Paris, France",48.875553,2.310422
Parc animalier Réserve africaine de Sigean France,"19 Ham. du Lac D6009, 11130 Sigean, France",43.0652702,2.9581865
Casino de Ribeauvillé France,"D106, 68150 Ribeauvillé, France",48.187331,7.3483455
Téléphérique de la Bastille France,"3 Quai Stéphane Jay, 38000 Grenoble, France",45.1923934,5.726600299999999
Téléphérique de la Bastille France,"Quai Stéphane Jay, 38000 Grenoble, France",45.1929765,5.7261
Guédelon chantier médiéval France,"D955, 89520 Treigny-Perreuse-Sainte-Colombe, France",47.5835476,3.1555059
L\'Ilebulle France,"Allée des Pouliers, Lacs de la Monnerie, 72200 La Flèche, France",47.7016109,-0.0489418
Circuit - compétitions nationales et internationales France,"Technopôle CS 80001, 58471 Magny-Cours, France",46.863809,3.1625678
Circuit - compétitions nationales et internationales France,"10 D58, 58470 Magny-Cours, France",46.866639,3.1588212
Circuit - compétitions nationales et internationales France,"58000 Nevers, France",46.98131129999999,3.1789466
Circuit - compétitions nationales et internationales France,"2 La Longère, 86150 Le Vigeant, France",46.19788800000001,0.6344866
Circuit - compétitions nationales et internationales France,"11 Rue du Pont-Canal, 58470 Gimouille, France",46.9435527,3.0859399
Safari de Peaugres France,"D821, 07340 Peaugres, France",45.266227,4.7238937
